time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Qualified Strategy,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1751630400,1.17691,1.17718,1.1765,1.17658,1.1775735562224683,NaN,NaN,NaN,NaN,NaN,NaN,1.1825124275519645,1.1804851754531747,1.1784579233543848,1.1775222685395588,1.1765866137247327,1.1745593616259429,1.172532109527153,0,0,0,0,NaN,NaN,1,38.474669761833155,57.009767547643484,38.474669761833155,NaN,NaN,NaN
1751631300,1.1766,1.17683,1.17644,1.17666,1.177479846131962,NaN,NaN,NaN,NaN,NaN,NaN,1.1824104452539879,1.18038735322473,1.178364261195472,1.1774305264127378,1.1764967916300035,1.1744736996007457,1.1724506075714878,0,0,0,0,NaN,NaN,1,39.7319204975998,56.530416058535685,NaN,NaN,NaN,NaN
1751632200,1.17666,1.17684,1.17638,1.1767,1.1773877628231217,NaN,NaN,NaN,NaN,NaN,NaN,1.1823141237576218,1.1802955329236662,1.1782769420897103,1.1773452847817307,1.1764136274737511,1.1743950366397953,1.1723764458058397,0,0,0,0,NaN,NaN,1,40.387850378308045,56.11024665478306,NaN,NaN,NaN,NaN
1751633100,1.17669,1.17681,1.17654,1.17667,1.1773026426081963,NaN,NaN,NaN,NaN,NaN,NaN,1.1822164366671553,1.1802036528990723,1.1781908691309892,1.1772618920072586,1.176332914883528,1.174320131115445,1.172307347347362,0,0,0,0,NaN,NaN,1,40.03591271715184,55.70319352858204,NaN,NaN,NaN,NaN
1751634000,1.17666,1.17724,1.17664,1.17687,1.1772442424248972,NaN,NaN,NaN,NaN,NaN,NaN,1.1821433729041515,1.1801360097123488,1.1781286465205458,1.1772021712012521,1.1762756958819585,1.1742683326901555,1.1722609694983528,0,0,0,0,NaN,NaN,1,43.56648823786497,55.452682748941996,NaN,NaN,NaN,NaN
1751634900,1.17686,1.17721,1.17684,1.17698,1.1771999154634778,NaN,NaN,NaN,NaN,NaN,NaN,1.182083933451112,1.1800827346783795,1.178081535905647,1.1771579057028472,1.1762342755000474,1.1742330767273148,1.1722318779545824,0,0,0,0,NaN,NaN,1,45.46822873715673,55.18219964646209,NaN,NaN,NaN,NaN
1751635800,1.17696,1.1777,1.17678,1.17766,1.1771948167325619,NaN,NaN,NaN,NaN,NaN,NaN,1.1820975863235021,1.1801005132635445,1.1781034402035868,1.177181714175914,1.1762599881482412,1.1742629150882835,1.1722658420283258,0,0,0,0,NaN,NaN,0,55.46042880793618,55.14552478543249,NaN,NaN,NaN,NaN
1751636700,1.17768,1.1781,1.17738,1.17796,1.1772349222036342,NaN,NaN,1.17738,NaN,NaN,NaN,1.1821471152450942,1.1801531571499737,1.1781591990548532,1.177238910703259,1.1763186223516648,1.1743246642565444,1.1723307061614239,0,0,0,0,NaN,NaN,0,59.02741861851757,55.217977433532084,NaN,NaN,NaN,NaN
1751637600,1.17795,1.17876,1.1779,1.17828,1.1773251286300206,NaN,NaN,NaN,NaN,NaN,NaN,1.1822337945603139,1.1802412807798395,1.178248766999365,1.1773291452545307,1.1764095235096963,1.174417009729222,1.1724244959487475,0,0,0,0,NaN,NaN,0,62.47918582115935,55.53423424162283,NaN,NaN,NaN,NaN
1751638500,1.1783,1.17856,1.17802,1.17828,1.17741577559009,NaN,NaN,NaN,NaN,NaN,NaN,1.1823227088972876,1.1803316048209012,1.178340500744515,1.1774215296323365,1.176502558520158,1.1745114544437718,1.1725203503673853,0,0,0,0,NaN,NaN,0,62.47918582115935,55.8350977517488,NaN,NaN,62.47918582115935,NaN
