"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"276","2025-07-07 22:45:14 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/CHF","0.79674","48278.00","Buy","4.2420","","","","","0.00000","0.0000","0.0000","","1.2615","-29.84230","","8509.96"
"277","2025-07-07 23:30:24 +07","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","32665.00","Sell","","","","","","","","","","","","",""
"278","2025-07-07 23:30:24 +07","ORDER_FILL","MARKET_ORDER","EUR/USD","1.17245","32665.00","Sell","1.7966","","","","","0.00000","0.0000","0.0000","","","0.00000","","8509.96"
"279","2025-07-07 23:45:08 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","28137.00","Sell","","","","","","","","","","","","",""
"280","2025-07-07 23:45:08 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.36117","28137.00","Sell","2.3916","","","","","0.00000","0.0000","0.0000","","","0.00000","","8509.96"
"281","2025-07-07 23:45:11 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","58941.00","Sell","","","","","","","","","","","","",""
"282","2025-07-07 23:45:11 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65012","58941.00","Sell","1.7682","","","","","0.00000","0.0000","0.0000","","","0.00000","","8509.96"
"283","2025-07-07 23:45:11 +07","MARKET_ORDER","CLIENT_ORDER","USD/CAD","","28024.00","Buy","","","","","","","","","","","","",""
"284","2025-07-07 23:45:11 +07","ORDER_FILL","MARKET_ORDER","USD/CAD","1.36618","28024.00","Buy","1.1282","","","","","0.00000","0.0000","0.0000","","","0.00000","","8509.96"
"285","2025-07-07 23:45:25 +07","MARKET_ORDER","CLIENT_ORDER","USD/THB","","1175.00","Buy","","","","","","","","","","","","",""
"286","2025-07-07 23:45:25 +07","ORDER_FILL","MARKET_ORDER","USD/THB","32.59600","1175.00","Buy","0.4327","","","","","0.00000","0.0000","0.0000","","","0.00000","","8509.96"
"287","2025-07-08 00:00:08 +07","MARKET_ORDER","CLIENT_ORDER","USD/CHF","","47936.00","Buy","","","","","","","","","","","","",""
"288","2025-07-08 00:00:08 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"289","2025-07-08 00:30:04 +07","MARKET_ORDER","POSITION_CLOSEOUT","EUR/USD","","32665.00","Buy","","","","","","","","","","","","",""
"290","2025-07-08 00:30:04 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","EUR/USD","1.16946","32665.00","Buy","1.6332","","","","","0.00000","0.0000","0.0000","","1.0000","97.66840","","8607.63"
"291","2025-07-08 00:45:05 +07","MARKET_ORDER","POSITION_CLOSEOUT","AUD/USD","","58941.00","Buy","","","","","","","","","","","","",""
"292","2025-07-08 00:45:05 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","AUD/USD","0.64967","58941.00","Buy","2.6523","","","","","0.00000","0.0000","0.0000","","1.0000","26.52340","","8634.15"
"293","2025-07-08 00:45:05 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/CAD","","28024.00","Sell","","","","","","","","","","","","",""
"294","2025-07-08 00:45:05 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/CAD","1.36659","28024.00","Sell","1.4354","","","","","0.00000","0.0000","0.0000","","0.7281","8.36520","","8642.52"
"295","2025-07-08 00:45:07 +07","MARKET_ORDER","POSITION_CLOSEOUT","GBP/USD","","28176.00","Sell","","","","","","","","","","","","",""
"296","2025-07-08 00:45:07 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","GBP/USD","1.36033","28176.00","Sell","1.9723","","","","","0.00000","0.0000","0.0000","","1.0000","-94.38960","","8548.13"
"297","2025-07-08 00:45:07 +07","MARKET_ORDER","POSITION_CLOSEOUT","GBP/USD","","28137.00","Buy","","","","","","","","","","","","",""
"298","2025-07-08 00:45:07 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","GBP/USD","1.36047","28137.00","Buy","1.9696","","","","","0.00000","0.0000","0.0000","","1.0000","19.69590","","8567.83"
"299","2025-07-08 01:00:21 +07","MARKET_ORDER","CLIENT_ORDER","USD/CAD","","28187.00","Buy","","","","","","","","","","","","",""
"300","2025-07-08 01:00:21 +07","ORDER_FILL","MARKET_ORDER","USD/CAD","1.36751","28187.00","Buy","1.3398","","","","","0.00000","0.0000","0.0000","","","0.00000","","8567.83"
"301","2025-07-08 04:00:00 +07","DAILY_FINANCING","","","","","","","","","","","0.43840","","","","","","","8568.26"
"","2025-07-08 04:00:00 +07","DAILY_FINANCING","Trade ID: 300","USD/CAD","","","","","","","","","0.78000","","","","","","",""
